account,month,statement,rows,opening,deposits,withdrawals,closing,stated_withdrawals,in_the_books,ledger_net,difference
checking-7742,2025-01,yes,22,0.00,547655.04,142151.07,405503.97,-142151.07,yes,405503.97,0.00
checking-7742,2025-02,yes,26,405503.97,60144.86,133183.98,332464.85,-133183.98,yes,-73039.12,0.00
checking-7742,2025-03,yes,25,332464.85,64409.48,97835.15,299039.18,-97835.15,yes,-33425.67,0.00
checking-7742,2025-04,yes,33,299039.18,68959.90,99860.19,268138.89,-99860.19,yes,-30900.29,0.00
checking-7742,2025-05,yes,32,268138.89,322724.82,99106.61,491757.10,-99106.61,yes,223618.21,0.00
checking-7742,2025-06,MISSING,34,491757.10,76049.21,108043.38,459762.93,-108043.38,yes,-31994.17,0.00
checking-7742,2025-07,yes,39,459762.93,80718.22,106438.84,434042.31,-106438.84,yes,-25720.62,0.00
checking-7742,2025-08,yes,46,434042.31,82315.52,111240.47,405117.36,-111240.47,yes,-28924.95,0.00
checking-7742,2025-09,yes,50,405117.36,87645.67,116819.21,375943.82,-116819.21,yes,-29173.54,0.00
checking-7742,2025-10,yes,40,375943.82,90721.29,111053.87,355611.24,-111053.87,no,-13351.61,-6980.97
checking-7742,2025-11,yes,48,355611.24,93017.04,131745.30,316882.98,-131745.30,no,-12911.01,-25817.25
checking-7742,2025-12,yes,55,316882.98,97871.06,135320.13,279433.91,-135320.13,no,-11912.73,-25536.34
checking-7742,2026-01,yes,48,279433.91,102558.98,124097.40,257895.49,"-$1 4, 07.40",no,-11581.41,-9957.01
checking-7742,2026-02,yes,53,257895.49,106122.45,133715.63,230302.31,-133715.63,no,-11271.62,-16321.56
savings-7809,2025-01,yes,2,0.00,5002.00,0.00,5002.00,0.00,yes,5002.00,0.00
savings-7809,2025-02,yes,2,5002.00,5004.00,0.00,10006.00,0.00,yes,5004.00,0.00
savings-7809,2025-03,yes,2,10006.00,5006.00,0.00,15012.00,0.00,yes,5006.00,0.00
savings-7809,2025-04,yes,2,15012.00,5008.00,0.00,20020.00,0.00,yes,5008.00,0.00
savings-7809,2025-05,yes,2,20020.00,5010.01,0.00,25030.01,0.00,yes,5010.01,0.00
savings-7809,2025-06,yes,2,25030.01,5012.01,0.00,30042.02,0.00,yes,5012.01,0.00
savings-7809,2025-07,yes,2,30042.02,5014.02,0.00,35056.04,0.00,yes,5014.02,0.00
savings-7809,2025-08,yes,2,35056.04,5016.02,0.00,40072.06,0.00,yes,5016.02,0.00
savings-7809,2025-09,yes,2,40072.06,5018.03,0.00,45090.09,0.00,yes,5018.03,0.00
savings-7809,2025-10,yes,2,45090.09,5020.04,0.00,50110.13,0.00,no,0.00,5020.04
savings-7809,2025-11,yes,2,50110.13,5022.04,0.00,55132.17,0.00,no,0.00,5022.04
savings-7809,2025-12,yes,2,55132.17,5024.05,0.00,60156.22,0.00,no,0.00,5024.05
savings-7809,2026-01,yes,2,60156.22,5026.06,0.00,65182.28,0.00,no,0.00,5026.06
savings-7809,2026-02,yes,2,65182.28,5028.07,0.00,70210.35,0.00,no,0.00,5028.07
card-3391,2025-01,yes,8,-4182.65,4182.65,5901.96,-5901.96,-5901.96,yes,-1719.31,0.00
card-3391,2025-02,yes,9,-5901.96,5901.96,8248.71,-8248.71,-8248.71,yes,-2346.75,0.00
card-3391,2025-03,yes,13,-8248.71,8248.71,13126.90,-13126.90,-13126.90,yes,-4878.19,0.00
card-3391,2025-04,yes,8,-13126.90,13126.90,5680.12,-5680.12,-5680.12,yes,7446.78,0.00
card-3391,2025-05,yes,15,-5680.12,5680.12,10743.03,-10743.03,-10743.03,yes,-5062.91,0.00
card-3391,2025-06,yes,15,-10743.03,10743.03,10282.64,-10282.64,-10282.64,yes,460.39,0.00
card-3391,2025-07,yes,14,-10282.64,10282.64,11377.24,-11377.24,-11377.24,yes,-1094.60,0.00
card-3391,2025-08,yes,12,-11377.24,11377.24,8983.02,-8983.02,-8983.02,no,11377.24,-8983.02
card-3391,2025-09,yes,12,-8983.02,8983.02,7729.21,-7729.21,-7729.21,no,8983.02,-7729.21
card-3391,2025-10,yes,25,-7729.21,7729.21,16937.82,-16937.82,-16937.82,no,0.00,-9208.61
card-3391,2025-11,yes,21,-16937.82,16937.82,15045.25,-15045.25,-15045.25,no,0.00,1892.57
card-3391,2025-12,yes,18,-15045.25,15045.25,8348.73,-8348.73,-8348.73,no,0.00,6696.52
card-3391,2026-01,yes,29,-8348.73,8348.73,18119.76,-18119.76,-18119.76,no,0.00,-9771.03
card-3391,2026-02,yes,28,-18119.76,18119.76,19148.67,-19148.67,-19148.67,no,0.00,-1028.91
