account_key,account,debit,credit
1010,1010 Northgate Checking 7742,314915.44,0.00
1020,1020 Northgate Savings 7809,45090.09,0.00
1100,1100 Accounts Receivable,360519.00,0.00
1200,1200 Paylane Clearing,0.00,232441.76
1300,1300 Prepaid Insurance,7200.00,0.00
1310,1310 Prepaid Software,4800.00,0.00
1500,1500 Machinery and Equipment,48000.00,0.00
1510,1510 Accumulated Depreciation,0.00,10400.00
1600,1600 Intangible Assets - Design License,60000.00,0.00
1610,1610 Accumulated Amortization - Design License,0.00,7000.00
2010,2010 Accounts Payable,0.00,93014.02
2100,2100 Vantage Card 3391,41385.93,0.00
Vantage Credit Card 3391,Vantage Credit Card 3391,0.00,32402.91
3000,3000 Common Stock,0.00,1000.00
3100,3100 Additional Paid-In Capital,0.00,24000.00
3200,3200 Opening Balance Equity,4182.65,0.00
3300,3300 SAFE - Simple Agreement for Future Equity,0.00,750000.00
4000,4000 Product Revenue,0.00,833608.57
4100,4100 Service Revenue,0.00,113750.00
4900,4900 Interest Income,0.00,90.09
5000,5000 Cost of Goods Sold - Components,201723.18,0.00
5100,5100 Shipping and Freight,28921.50,0.00
6000,6000 Salaries and Wages,613900.00,0.00
6010,6010 Payroll Taxes,46963.34,0.00
6100,6100 Contract Engineering,104285.66,0.00
6200,6200 Software Subscriptions,6013.35,0.00
6300,6300 Cloud Hosting,29603.35,0.00
6400,6400 Rent,58500.00,0.00
6500,6500 Insurance,7200.00,0.00
6600,6600 Marketing and Advertising,27598.52,0.00
6700,6700 Office Supplies,1709.13,0.00
6800,6800 Professional Fees,54013.42,0.00
6900,6900 Travel and Meals,6200.10,0.00
6950,6950 Bank and Processor Fees,7582.69,0.00
7000,7000 Depreciation Expense,10400.00,0.00
7100,7100 Amortization Expense,7000.00,0.00
