Vantage Card Services,
Account,Vantage Business Card 3391
Statement period,05/01/2025 - 05/31/2025
Opening balance,-5680.12
Total deposits,5680.12
Total withdrawals,-10743.03
Closing balance,-10743.03

Date,Description,Amount,Balance,Transaction ID
05/03/2025,SKYWARD AIR 0169,-291.10,-5971.22,VCS100195
05/04/2025,CONTOSO CLOUD MONTHLY,-2880.00,-8851.22,VCS100154
05/05/2025,PAYMENT RECEIVED THANK YOU,5680.12,-3171.10,VCS100157
05/07/2025,LUMINA ADS PLATFORM,-1687.65,-4858.75,VCS100188
05/09/2025,CONTOSO CLOUD OVERAGE,-266.75,-5125.50,VCS100189
05/17/2025,METRO RIDESHARE,-26.85,-5152.35,VCS100173
05/18/2025,HARBOR DINER,-146.21,-5298.56,VCS100192
05/19/2025,CONTOSO CLOUD OVERAGE,-1311.86,-6610.42,VCS100182
05/20/2025,CONTOSO CLOUD OVERAGE,-1358.11,-7968.53,VCS100197
05/22/2025,FABRIKAM FREIGHT LOGISTICS,-1576.48,-9545.01,VCS100155
05/22/2025,CASCADE OFFICE SUPPLY,-365.70,-9910.71,VCS100172
05/23/2025,METRO RIDESHARE,-71.91,-9982.62,VCS100171
05/24/2025,SKYWARD AIR 0169,-660.14,-10642.76,VCS100178
05/25/2025,METRO RIDESHARE,-55.91,-10698.67,VCS100185
05/26/2025,CASCADE OFFICE SUPPLY,-44.36,-10743.03,VCS100198
